ret_5d,ret_20d,ret_60d,vol_20d,vol_60d,drawdown_60d,dollar_vol_20d_log,empirical_upside_probability_5d,graph_degree,graph_similarity_mean,neighbor_ret_20d,neighbor_divergence,date,ticker,latent_x,latent_y,latent_z,state_cluster,delta_latent_x,delta_latent_y,delta_latent_z,latent_velocity,latent_acceleration,latent_path_curvature,latent_radius,latent_radial_expansion,neighbor_convergence_velocity,graph_cluster_switch_count_20d,graph_regime_residence_days,crowding_change_5d,prediction_confidence_proxy
-0.05206532180595591,-0.09364781953782286,-0.04546333913716383,0.15414429813821956,0.1555009814114567,-0.13798525455117228,23.06398749869604,0.5634920634920635,5.0,0.36411300121462414,-0.027320430358301284,0.06632738917952158,2026-01-20,AAPL,-2.26151373341247,-0.3769613899850063,4.140248767694853,2,,,,,,0.0,4.7326740976271955,,,0.0,1.0,,0.12698412698412698
-0.027267769496455152,-0.03940400323130777,-0.0640195906944202,0.29874507654864635,0.2683941025733408,-0.09412561367868633,21.101039450459503,0.5317460317460317,6.0,0.3675487301572437,0.006896631185679235,0.04630063441698701,2026-01-20,ABBV,-1.4607295629660393,-0.5399294251357875,0.3621525425309907,0,,,,,,0.0,1.5988774513114128,,,0.0,1.0,,0.06349206349206349
-0.028080872913992305,-0.03180946291560105,-0.053223915592028104,0.1271525836490684,0.1777198738941427,-0.07236388697450036,20.331377494009843,0.48412698412698413,17.0,0.4240895767930849,-0.01876987453103315,0.0130395883845679,2026-01-20,ABT,-1.5639206007908175,-2.0065122234372033,-0.5796229101106908,0,,,,,,0.0,2.609195597556076,,,0.0,1.0,,0.031746031746031744
-0.02936361047835989,0.010186694325085233,0.094605442722967,0.3371536736081502,0.2912866059440846,-0.05486241075760745,20.78564968306465,0.5,15.0,0.44939650954772103,0.003974170222350167,-0.006212524102735066,2026-01-20,ACN,-0.07476230382791285,-0.5536422628708998,-0.3598873098383012,4,,,,,,0.0,0.6645510011226505,,,0.0,1.0,,0.0
-0.11377994811536696,-0.1839183834068745,-0.17995424891976608,0.2811855278397442,0.29728311111711936,-0.19321497040926905,20.80094998555878,0.42857142857142855,13.0,0.5141418969761793,-0.09122983171881548,0.09268855168805902,2026-01-20,ADBE,-4.298577648767544,0.7548825264935716,-0.14482728732848874,5,,,,,,0.0,4.366759940097938,,,0.0,1.0,,0.1428571428571429
0.0061593956305723285,0.07547650225520153,0.23011316358795142,0.25416905616823776,0.2916973202968769,-0.02128434293280368,20.6727992327353,0.5079365079365079,47.0,0.609249726875663,0.07900787782336424,0.0035313755681627146,2026-01-20,ADI,1.440976201696103,-0.31805755252456164,-0.7373111053111959,3,,,,,,0.0,1.6496062216746334,,,0.0,1.0,,0.015873015873015817
0.03577008202057019,0.25534516765286,0.44282734856728334,0.4571260127006943,0.43711962558475365,-0.026849331824714717,21.418099998885268,0.6507936507936508,52.0,0.7184336229366364,0.2098680662028228,-0.045477101450037166,2026-01-20,AMAT,4.678197473920551,1.6961268543278583,-0.28095511190802347,1,,,,,,0.0,4.984106107004142,,,0.0,1.0,,0.3015873015873016
0.11666425923251,0.15348652143638697,0.007340485601355251,0.39517799101288414,0.5269117069713142,-0.12261188665683043,22.50734082929317,0.6031746031746031,35.0,0.5824042716636793,0.07740866414484285,-0.07607785729154412,2026-01-20,AMD,2.614730045060723,2.1371366780911973,1.8195822172314984,2,,,,,,0.0,3.836019530014286,,,0.0,1.0,,0.20634920634920628
0.016772132456840838,0.020282350040071506,0.11831880532468397,0.24243438938680564,0.2806091545579741,-0.04185723383314999,20.435731563518484,0.5079365079365079,5.0,0.36659785920913585,0.00982686808450996,-0.010455481955561546,2026-01-20,AMGN,0.19789740812316636,-1.7285469403232838,-0.782637909773057,4,,,,,,0.0,1.9077630898140348,,,0.0,1.0,,0.015873015873015817
-0.0627662595853451,0.01869818310107596,0.059876118375774334,0.2611972336309828,0.3316018773728876,-0.09055118110236215,22.976654006292502,0.5396825396825397,27.0,0.4985387962825292,-0.03502433338563439,-0.05372251648671035,2026-01-20,AMZN,0.06775151148510572,0.7575210536541067,3.4913636860165593,2,,,,,,0.0,3.573240658292257,,,0.0,1.0,,0.0793650793650793
0.03321989953005988,0.02327074305889898,-0.13009072924483256,0.44202873727124986,0.44458753590937583,-0.21298524964512744,20.594967810609145,0.5793650793650794,36.0,0.5642810639708895,0.06167309424941637,0.03840235119051739,2026-01-20,ANET,-0.8145004491507315,2.1910888985945176,-1.373261769180516,5,,,,,,0.0,2.711112212709699,,,0.0,1.0,,0.15873015873015883
0.049755358004272665,0.17529511611758353,0.18149383386333673,0.33322139753019625,0.36490840714201367,-0.013342833085044248,20.798009194394425,0.6984126984126984,45.0,0.7114393876574467,0.13890505299952333,-0.0363900631180602,2026-01-20,APH,2.895616248702618,0.38255118842377966,-0.8619128499056756,3,,,,,,0.0,3.0452968052962572,,,0.0,1.0,,0.39682539682539675
-0.14139527822060272,-0.18556389244927063,0.001239332884812816,0.5764449806195207,0.5765836900608974,-0.22911668484187575,21.59390186917369,0.6031746031746031,29.0,0.49548442484237265,-0.04246767664469198,0.14309621580457865,2026-01-20,APP,-3.346449495340121,4.272445927696857,0.1876877992656066,5,,,,,,0.0,5.430261977100992,,,0.0,1.0,,0.20634920634920628
-0.0556770108741943,0.008245422577907169,-0.02262709374081684,0.3717042725871835,0.5033627271699531,-0.19461462091677362,22.794131571960964,0.5634920634920635,39.0,0.6147095072375951,0.12993138346862176,0.1216859608907146,2026-01-20,AVGO,-0.8541748793512651,3.706846792753885,2.399891069569505,2,,,,,,0.0,4.497755553080222,,,0.0,1.0,,0.12698412698412698
-0.02057899274173358,-0.06212718363868763,0.0005397727272726804,0.26115972035783713,0.23891142338264681,-0.0849593390319312,20.723732229783362,0.5873015873015873,32.0,0.5923736547254089,-0.031631305932381,0.030495877706306636,2026-01-20,AXP,-1.2161622286479197,-0.2146987219908839,-0.37757968107092266,0,,,,,,0.0,1.291399443693551,,,0.0,1.0,,0.17460317460317465
0.014470621629293134,0.04300752055238255,-0.10589253638742546,0.23641276442364792,0.2745794182489109,-0.09928804546428249,20.128362884349617,0.5317460317460317,2.0,0.30539816398814895,-0.01262030635762579,-0.05562782691000834,2026-01-20,AZO,-0.6792603186111339,-1.873045571496991,-1.1665145495806983,4,,,,,,0.0,2.3087768380091758,,,0.0,1.0,,0.06349206349206349
