feature_set,auc_mean,auc_std,brier_mean,brier_std,log_loss_mean,log_loss_std,ece_10_mean,ece_10_std,mean_net_return_mean,mean_net_return_std,mean_excess_return_mean,mean_excess_return_std,win_rate_mean,win_rate_std,turnover_mean,turnover_std,worst_net_return_mean,worst_net_return_std,auc_rank,brier_rank,ece_rank,excess_rank,selection_score
base_plus_all_motion,0.5147630967415533,0.02730366781131108,0.25600058525708114,0.005050989916293647,0.7058177486227094,0.01077852753150851,0.09154853404595258,0.022958367975906387,0.021105193884936885,0.011148398446113747,0.007853374553333263,0.007779642565051005,0.5777777777777777,0.19787227990155457,0.8200000000000001,0.06522245206957684,-0.010569640001708422,0.013557771788937821,1.0,0.75,0.25,0.75,0.7625
base_only,0.5100410343833264,0.04251271119046511,0.255003227988414,0.005760718317199568,0.7034909075179532,0.011851159057746035,0.08937859044372778,0.030812907660600165,0.02563905770650406,0.018861921830422963,0.012387238374900439,0.016202856950436426,0.6,0.22537446792760443,0.6577777777777778,0.09633495357565332,-0.01005220458693109,0.02685689127508857,0.5,1.0,0.5,1.0,0.75
base_plus_graph_motion,0.5114870889330236,0.02007253940111882,0.2566304560723928,0.005215515785714644,0.7070721816315895,0.011095456919710804,0.08814190958310153,0.03198417427538877,0.014488289906021658,0.015286731840128426,0.001236470574418035,0.014279960629973509,0.4666666666666667,0.2760262237369417,0.7777777777777778,0.09893613995077724,-0.013470655766288496,0.01538769846913116,0.75,0.25,0.75,0.5,0.5625
base_plus_kinematic,0.4876301889460136,0.025035991416225294,0.25643301828261195,0.004396619028539209,0.7063757362516634,0.009060401312472207,0.08584323930516163,0.025087926226840654,0.01042558528153178,0.012508816136605642,-0.0028262340500718438,0.01090314892940184,0.4666666666666667,0.30341966327759984,0.8,0.08908708063747475,-0.018838907980350986,0.017316812651726625,0.25,0.5,1.0,0.25,0.425
