split,feature_set,activation,loss,seed,auc,brier,log_loss,ece_10,best_epoch,mean_net_return,mean_excess_return,win_rate,turnover,worst_net_return
1,base_only,tanh,focal_gamma_1,442,0.516861167002012,0.2613078594857248,0.7165707119002627,0.128500739338474,43,0.01159608265322949,0.000990565131512973,0.6666666666666666,0.6333333333333333,-0.01909163722360967
1,base_only,tanh,focal_gamma_1,2025,0.5174858675864712,0.25255496347800704,0.69866257318808,0.09797781709519782,1,0.04026278522670199,0.029657267704985474,0.6666666666666666,0.5333333333333333,-0.020083541010235906
1,base_only,tanh,focal_gamma_1,9001,0.48086870428922746,0.26380749139261817,0.721689239238598,0.13129753331203858,27,0.011576841628701392,0.0009713241069848749,0.3333333333333333,0.6,0.0005266447994489284
1,base_only,tanh,focal_gamma_1,117,0.4950464692919422,0.26190633294753035,0.7175812189730674,0.1265321621856306,7,0.010523718224857584,-8.179929685893502e-05,0.6666666666666666,0.7666666666666666,-0.006803874667454102
1,base_only,tanh,focal_gamma_1,8080,0.490972501676727,0.25250294197916984,0.6981840776545131,0.08799288466027523,2,0.014130357045220454,0.0035248395235039365,0.6666666666666666,0.7000000000000001,-0.02966383391801918
1,base_plus_kinematic,tanh,focal_gamma_1,442,0.45593305866947725,0.26347680852610067,0.7207363814742942,0.11944243998034189,20,0.0002861684182700313,-0.010319349103446484,0.3333333333333333,0.7333333333333334,-0.024642908279780495
1,base_plus_kinematic,tanh,focal_gamma_1,2025,0.4984497460956213,0.2575152873527387,0.7083966499927596,0.11247823839178205,2,0.026732658157342992,0.016127140635626473,0.6666666666666666,0.5666666666666668,-0.019989885619424122
1,base_plus_kinematic,tanh,focal_gamma_1,9001,0.48024911372999907,0.26124224761155207,0.7160935488163462,0.11852929051732053,24,0.019488568442602192,0.008883050920885675,0.6666666666666666,0.8333333333333334,-0.01617193600564487
1,base_plus_kinematic,tanh,focal_gamma_1,117,0.4991945322730031,0.2536236851064335,0.7006150188190097,0.09261840486116082,21,-0.00226865221911557,-0.012874169740832086,0.0,0.7999999999999999,-0.026633345123011177
1,base_plus_kinematic,tanh,focal_gamma_1,8080,0.492983296605027,0.26622620331817304,0.7269701930783733,0.13355855098669372,34,0.013560085249089193,0.0029545677273726755,0.6666666666666666,0.8333333333333334,-0.011368438158798375
1,base_plus_graph_motion,tanh,focal_gamma_1,442,0.5264897320430519,0.25387275816523813,0.7010917001711096,0.10639276763172431,7,0.036883376488274396,0.02627785896655788,0.6666666666666666,0.6333333333333333,-0.008770011856191895
1,base_plus_graph_motion,tanh,focal_gamma_1,2025,0.5111903165021877,0.262542191211002,0.7187174816923756,0.13715365864322668,18,0.012079316316627259,0.0014737987949107409,0.6666666666666666,0.7000000000000001,-0.0036371964712427424
1,base_plus_graph_motion,tanh,focal_gamma_1,9001,0.5020868065536074,0.26778376770717655,0.7314203374606821,0.14690477808775348,27,-0.010658772033614872,-0.021264289555331387,0.3333333333333333,0.7333333333333334,-0.018482431483389426
1,base_plus_graph_motion,tanh,focal_gamma_1,117,0.516747468940628,0.251568902268193,0.6965531316131769,0.09276046783381442,13,0.008453881065843605,-0.002151636455872911,0.6666666666666666,0.7333333333333334,-0.016513749904447338
1,base_plus_graph_motion,tanh,focal_gamma_1,8080,0.5300693047171922,0.260270000899208,0.7144818727469837,0.13364078448814212,18,0.02491949862305903,0.014313981101342512,0.6666666666666666,0.8666666666666667,-0.005641340674382511
1,base_plus_all_motion,tanh,focal_gamma_1,442,0.5292504231739644,0.25268167837909616,0.6988711942231779,0.08822741905178519,27,0.021957278658787712,0.011351761137071195,0.6666666666666666,0.8666666666666667,-0.011968800514540277
1,base_plus_all_motion,tanh,focal_gamma_1,2025,0.5460700712209767,0.251660124442007,0.6967045591444339,0.10228164621942817,24,0.026058631972971206,0.01545311445125469,0.3333333333333333,0.8666666666666667,-0.029066830995030046
1,base_plus_all_motion,tanh,focal_gamma_1,9001,0.4660266360065153,0.2611908941742087,0.7160872055960867,0.11334414382823726,27,0.0007397106994571483,-0.00986580682225937,0.3333333333333333,0.9,-0.02173085436949527
1,base_plus_all_motion,tanh,focal_gamma_1,117,0.5178141867075469,0.261481254000412,0.7166615300875853,0.13418732386064403,4,0.01064804635039366,4.252882867714312e-05,0.3333333333333333,0.7999999999999999,-0.016290567254932418
1,base_plus_all_motion,tanh,focal_gamma_1,8080,0.5229842547347578,0.25418194419367873,0.701882603593602,0.10167247844978469,6,0.01191134480003715,0.0013058272783206329,0.6666666666666666,0.8333333333333334,-0.01788200544553594
2,base_only,tanh,focal_gamma_1,442,0.6261889285215858,0.2459337277320531,0.6850301310671234,0.10891655752057001,1,0.06464018532531157,0.04482122289626025,1.0,0.46666666666666673,0.058509362284733635
2,base_only,tanh,focal_gamma_1,2025,0.5333025715431647,0.2496257654456855,0.692355542299355,0.07112899182379794,2,0.04765843551107857,0.02783947308202724,1.0,0.6666666666666666,0.02650986656327322
2,base_only,tanh,focal_gamma_1,9001,0.5263949989878784,0.2538533856427333,0.7010175227869366,0.09111682871998626,4,0.02942433594355905,0.009605373514507725,0.3333333333333333,0.6,-0.021749365777088824
2,base_only,tanh,focal_gamma_1,117,0.4596414952241692,0.2657755427024456,0.7257633979342665,0.12996330721929225,23,0.03922743476483946,0.019408472335788136,0.6666666666666666,0.6666666666666666,0.0067601733179364805
2,base_only,tanh,focal_gamma_1,8080,0.5444120202323731,0.25051341868471283,0.6942966209556513,0.07990027563667065,4,0.029963450311007292,0.010144487881955967,0.3333333333333333,0.7000000000000001,-0.00125070144816729
2,base_plus_kinematic,tanh,focal_gamma_1,442,0.5330347679475558,0.2510652473721921,0.6955082289850495,0.08196551780637187,3,0.014279398114813298,-0.005539564314238026,0.6666666666666666,0.8666666666666666,0.008881938923447543
2,base_plus_kinematic,tanh,focal_gamma_1,2025,0.5233548623954718,0.2512620669670531,0.6957750140805867,0.06450488558702783,4,0.023494117794378457,0.0036751553653271312,0.6666666666666666,0.8000000000000002,-0.02224249905672655
2,base_plus_kinematic,tanh,focal_gamma_1,9001,0.48623326070365713,0.25562886347653685,0.7045480093049854,0.08474336358432949,3,0.01522927788775419,-0.004589684541297135,0.3333333333333333,0.8333333333333334,0.004021928951176457
2,base_plus_kinematic,tanh,focal_gamma_1,117,0.49452888569815645,0.25289930359508694,0.6992423448925499,0.06155519477484525,1,0.00824692579342945,-0.011572036635621875,0.0,0.9333333333333332,-0.003710811554126946
2,base_plus_kinematic,tanh,focal_gamma_1,8080,0.5153785900455015,0.25322603076692424,0.6997266977325017,0.07780148183960546,4,0.030892871585269824,0.011073909156218498,0.6666666666666666,0.6666666666666666,-0.012024189868999613
2,base_plus_graph_motion,tanh,focal_gamma_1,442,0.5466449741563244,0.2505037541702773,0.6942722539254622,0.08344158850193868,3,0.029377756922501174,0.009558794493449846,0.6666666666666666,0.9333333333333332,0.008199285294599568
