split,seed,activation,loss,auc,brier,log_loss,ece_10,best_epoch,mean_net_return,mean_excess_return,win_rate,turnover,worst_net_return
1,442,tanh,focal_gamma_1,0.5128216920571045,0.2518230768278339,0.6971098026888735,0.0893241931874082,40,-0.001492608724244185,-0.012098126245960702,0.3333333333333333,0.8333333333333334,-0.04010501011825679
1,2025,tanh,focal_gamma_1,0.514225671489253,0.2625561229118019,0.7191737020376826,0.1317645998911242,1,0.028738299143387727,0.01813278162167121,0.6666666666666666,0.9,-0.025951091368402603
1,9001,tanh,focal_gamma_1,0.5094554629363482,0.25034195890837085,0.6939004853126594,0.08478475418549317,7,-0.0024817371528505585,-0.013087254674567075,0.3333333333333333,0.7999999999999999,-0.035160541111707765
1,117,tanh,focal_gamma_1,0.521973747245377,0.2658178989908445,0.7265791492168238,0.1441597440458294,1,0.010060846167563768,-0.0005446713541527481,0.3333333333333333,0.7999999999999999,-0.008807646098699929
1,8080,tanh,focal_gamma_1,0.5079697231005078,0.2512668313342292,0.695788636007836,0.08552529592173032,4,0.012217267542262553,0.001611750020546038,0.6666666666666666,0.8333333333333334,-0.017628013253648364
2,442,tanh,focal_gamma_1,0.49233113600273587,0.2545807149180437,0.7024144193666689,0.08237180475103952,8,0.010185735174957827,-0.009633227254093499,0.3333333333333333,0.9,-0.02395268841182706
2,2025,tanh,focal_gamma_1,0.5064354587048113,0.25242544519641746,0.6980288792210051,0.07880086310044371,5,0.027624290467001423,0.007805328037950102,1.0,0.8333333333333334,0.02158500414096981
2,9001,tanh,focal_gamma_1,0.5031828394473439,0.2592635614835841,0.7123606223679656,0.10198743135673029,3,0.050638194719631636,0.030819232290580312,1.0,0.8333333333333334,0.0399793164214952
2,117,tanh,focal_gamma_1,0.5694661153013922,0.25034284955347097,0.6939063360952967,0.08885152748206933,4,0.02644309640064695,0.006624133971595628,0.6666666666666666,0.8333333333333334,-0.02321458601182588
2,8080,tanh,focal_gamma_1,0.492205406615126,0.2559618450354465,0.7052504522187496,0.08585028036387582,18,0.005500218483988724,-0.0143187439450626,0.0,0.8333333333333334,-0.019595414431195734
3,442,tanh,focal_gamma_1,0.5495174288379905,0.24690516992424122,0.6869335689047342,0.024207752673328736,23,0.010737051051593312,0.0014060730075502851,0.6666666666666666,0.8666666666666667,-0.014826090214043986
3,2025,tanh,focal_gamma_1,0.5370720744783275,0.2489374343975002,0.69102837739335,0.03451518695352376,7,0.0052717585724098145,-0.004059219471633214,0.3333333333333333,0.8333333333333334,-0.009818897185751161
3,9001,tanh,focal_gamma_1,0.4936996791140915,0.25105613149018124,0.6952569861004441,0.041440078420069394,8,0.011609961293713363,0.0022789832496703357,0.3333333333333333,0.9,-0.0035010645452810177
3,117,tanh,focal_gamma_1,0.4769286386014691,0.25245249200648684,0.6980891919283769,0.04244145333673109,13,0.011127448432162033,0.001796470388119006,0.3333333333333333,0.8666666666666666,-0.044159208251674555
3,8080,tanh,focal_gamma_1,0.49155795512566475,0.2534864859884559,0.7002967633357056,0.04062149843328628,3,0.017177439900101746,0.007846461856058718,0.6666666666666666,0.8333333333333334,-0.0196837919940846
