split,dropped_feature,activation,loss,seed,auc,brier,log_loss,ece_10,best_epoch,mean_net_return,mean_excess_return,win_rate,turnover,worst_net_return
1,latent_velocity,tanh,focal_gamma_1,442,0.514164351186484,0.27404771051422566,0.7440486334012932,0.16792175051002703,2,0.037628669356613104,0.02702315183489658,0.6666666666666666,0.8333333333333334,-0.023152476273614473
1,latent_velocity,tanh,focal_gamma_1,2025,0.5043748203506755,0.2610902615513393,0.7158605954580485,0.1283886322841141,15,0.007247907847603431,-0.0033576096741130858,0.3333333333333333,0.7666666666666666,-0.0094950174628298
1,latent_velocity,tanh,focal_gamma_1,9001,0.48999776436396153,0.2725254837258817,0.7415904641898979,0.14699904222781746,32,0.025640377342669923,0.015034859820953407,1.0,0.8333333333333334,-0.00561389867717904
1,latent_acceleration,tanh,focal_gamma_1,442,0.5210973779183035,0.2741771248045921,0.7443526276167851,0.16966585458964306,2,0.04826544550017834,0.03765992797846182,0.6666666666666666,0.7333333333333334,-0.022952476273614474
1,latent_acceleration,tanh,focal_gamma_1,2025,0.5027817699849892,0.2732831008241129,0.7430335937781628,0.15145209425975398,31,0.010712560438767482,0.00010704291705096516,0.3333333333333333,0.7999999999999999,-0.00960626859842928
1,latent_acceleration,tanh,focal_gamma_1,9001,0.5038139950816009,0.26830687931728675,0.7319419336649737,0.14138498224328508,27,0.01909936335247576,0.008493845830759243,0.6666666666666666,0.8666666666666667,-0.002787051758603409
1,latent_path_curvature,tanh,focal_gamma_1,442,0.5237277634058317,0.2736997882340544,0.7434197764773697,0.16781186100560047,2,0.0592108970243132,0.04860537950259669,0.6666666666666666,0.7999999999999999,-0.021576464876825383
1,latent_path_curvature,tanh,focal_gamma_1,2025,0.5173210692727795,0.2610150660317575,0.7158643395060568,0.13013213174565622,18,0.015572804471686278,0.004967286949969761,0.6666666666666666,0.8333333333333334,-0.014563902331713086
1,latent_path_curvature,tanh,focal_gamma_1,9001,0.5036185366165246,0.2655635536156155,0.7256345109778365,0.13341864931616568,27,0.017507317606047453,0.006901800084330934,0.6666666666666666,0.9,2.016453023894263e-05
1,latent_radial_expansion,tanh,focal_gamma_1,442,0.5175586854460094,0.2739241690960393,0.7435010410869838,0.1695209572154956,2,0.030159108214198874,0.01955359069248236,0.6666666666666666,0.7000000000000001,-0.03343838302579054
