activation,loss,auc_mean,auc_std,brier_mean,brier_std,log_loss_mean,log_loss_std,ece_10_mean,ece_10_std,mean_net_return_mean,mean_net_return_std,mean_excess_return_mean,mean_excess_return_std,win_rate_mean,win_rate_std,turnover_mean,turnover_std,worst_net_return_mean,worst_net_return_std,auc_rank,brier_rank,ece_rank,excess_rank,selection_score
tanh,focal_gamma_1,0.5130044874919072,0.028127338999608155,0.2547626736556107,0.0042327593564393026,0.7031621336223972,0.008919713375698388,0.08431880999437923,0.0205681162050735,0.021150839204844535,0.011609330534468054,0.00789901987324091,0.00861758685267449,0.5555555555555556,0.16666666666666669,0.8296296296296296,0.07535922203472517,-0.011638618886100582,0.010836879053707083,0.85,1.0,0.95,1.0,0.94
tanh,brier_mse,0.5160744858894772,0.03394006775478332,0.2566438258569204,0.003765885508438687,0.7073868554876478,0.007502891030258502,0.0925000318946349,0.016075853764038597,0.020560562089538194,0.01509707262499286,0.007308742757934573,0.013393076688875566,0.6296296296296295,0.20030840419244386,0.8,0.10540925533894596,-0.01223762185772192,0.01525063171058558,1.0,0.9,0.8,0.95,0.9324999999999999
tanh,binary_cross_entropy,0.5152659870553175,0.03407980072214768,0.2566835885324788,0.0037725430483592586,0.7074384680864162,0.0075132864225817535,0.09172357915895361,0.016126225549104627,0.01873639980744626,0.01563589557418814,0.005484580475842637,0.013111948491867644,0.5925925925925926,0.22222222222222227,0.8111111111111111,0.10929064207169997,-0.014262260884645606,0.01694024286993924,0.95,0.85,0.85,0.85,0.8849999999999999
tanh,focal_gamma_2,0.5021846703674925,0.027774678031903796,0.2555614590179356,0.0060692692154606185,0.70483636232141,0.012889201522226366,0.08253685626201279,0.02246792101615905,0.01490247538307516,0.012691336064293677,0.0016506560514715361,0.010018844171348896,0.5555555555555556,0.16666666666666666,0.8407407407407407,0.046481112585226386,-0.016144057162059543,0.01077161415425065,0.8,0.95,1.0,0.8,0.8674999999999999
tanh,return_aware_bce,0.5150652120755512,0.033697674203214484,0.25686564235523096,0.003974202620398647,0.7077752457785137,0.00787942236841822,0.09344409291381689,0.017405586883670828,0.020356240490864003,0.01597106255467455,0.007104421159260382,0.01366965528993381,0.6296296296296295,0.20030840419244386,0.7851851851851852,0.10815512407739873,-0.01272550992725694,0.016031381526676523,0.9,0.8,0.75,0.9,0.8524999999999999
leaky_relu,focal_gamma_2,0.49846647285172185,0.022269743872464543,0.2590165069154901,0.009644269473721758,0.7136435077941672,0.024590052619705483,0.088428985432666,0.034423606231809324,0.013901277151451766,0.010374629088699292,0.0006494578198481436,0.008727746758986776,0.37037037037037035,0.20030840419244386,0.8222222222222222,0.0942809041582063,-0.021360401319652368,0.01599310600906889,0.7,0.75,0.9,0.6,0.7175
leaky_relu,binary_cross_entropy,0.49659731500867427,0.024637194100079987,0.2656270467135961,0.007581901763830861,0.7287393689431066,0.017050748011352385,0.1100450182176015,0.030363006667694568,0.01487649272316687,0.014918330669813152,0.0016246733915632457,0.015581677196596106,0.48148148148148145,0.2421610524189263,0.8037037037037037,0.09196080754026029,-0.02160638136187555,0.013500430430010367,0.6,0.5,0.45,0.75,0.59
relu,focal_gamma_2,0.4996261558812325,0.024054439918429718,0.261401607422043,0.009207395684010185,0.7189947649752619,0.02308418701472128,0.09548992072422033,0.034600511069664136,0.010553607058278848,0.01526032976397905,-0.0026982122733247758,0.014180674339607333,0.4074074074074074,0.2222222222222222,0.8,0.07453559924999295,-0.026373748261957135,0.008719416799329057,0.75,0.7,0.7,0.1,0.5675
leaky_relu,return_aware_bce,0.4968693862956153,0.024838257374102366,0.26655758480203556,0.007989199220850412,0.7310361521118305,0.01804438390456709,0.11332009069421527,0.03128298149470507,0.014289503072271574,0.0162334245615447,0.0010376837406679523,0.017203356706119752,0.48148148148148145,0.2421610524189263,0.8037037037037037,0.09043789220055394,-0.0234950582374583,0.0124518296644867,0.65,0.4,0.3,0.65,0.535
leaky_relu,brier_mse,0.4962725306583127,0.02494914119446017,0.2661445364225034,0.0075243474674392685,0.7299744599842246,0.016792754798423275,0.1124009767795986,0.028325375937135168,0.014303599382515773,0.015080593024455718,0.0010517800509121508,0.015091986114790429,0.4444444444444444,0.23570226039551584,0.7999999999999999,0.10137937550497028,-0.021587465518761333,0.012219376621075882,0.5,0.45,0.35,0.7,0.5149999999999999
