split,activation,loss,seed,feature_set,auc,brier,log_loss,ece_10,best_epoch,mean_net_return,mean_excess_return,win_rate,turnover,worst_net_return
1,relu,binary_cross_entropy,442,all_motion,0.47584043946216986,0.28092481332203195,0.7665035521981319,0.15277427176613667,25,0.029775670622797044,0.019170153101080528,0.6666666666666666,0.7333333333333334,-0.024677802394012495
1,relu,binary_cross_entropy,2025,all_motion,0.49406406694133054,0.2816603693320009,0.7646285804315992,0.16588818129306968,17,0.03325906521958233,0.022653547697865813,0.3333333333333333,0.9333333333333332,-0.011804701448648824
1,relu,binary_cross_entropy,9001,all_motion,0.4933576059531794,0.2761836019748996,0.751808438611265,0.14892043142094344,11,0.004528817961814341,-0.0060766995599021755,0.3333333333333333,0.6666666666666666,-0.03094203478776021
1,relu,brier_mse,442,all_motion,0.47359586087956307,0.2771990333112646,0.7554234350009321,0.14251227523081425,25,0.041801417953530394,0.03119590043181388,0.6666666666666666,0.7999999999999999,-0.024777802394012494
1,relu,brier_mse,2025,all_motion,0.49193574143272334,0.2800086581873655,0.7599433886314071,0.163246889757441,17,0.034530203591495494,0.02392468606977898,0.3333333333333333,0.9333333333333332,-0.027333439691850366
1,relu,brier_mse,9001,all_motion,0.4920289993931845,0.2767117923577393,0.7528718869788128,0.15276767913810854,11,0.0008699260481566639,-0.009735591473559853,0.3333333333333333,0.6999999999999998,-0.02910982240525657
1,relu,focal_gamma_1,442,all_motion,0.4705758359681901,0.26727386104433704,0.7309957727335709,0.12496654590964146,29,0.006127850442604145,-0.0044776670791123714,0.3333333333333333,0.6999999999999998,-0.03377691672259594
1,relu,focal_gamma_1,2025,all_motion,0.5029925585257577,0.26580653283038536,0.7266612788500402,0.14010877093820903,17,0.014953853009772018,0.004348335488055501,0.3333333333333333,0.8333333333333334,-0.03553297216315071
1,relu,focal_gamma_1,9001,all_motion,0.4857564434224394,0.2680438565851896,0.7317094947116307,0.13150157469258575,11,0.0012290855061129456,-0.009376432015603571,0.3333333333333333,0.7333333333333334,-0.03073641165558245
1,relu,focal_gamma_2,442,all_motion,0.47078790201526616,0.2644742702990499,0.7242484666211141,0.11557542319154754,43,0.007317385197969722,-0.0032881323237467946,0.3333333333333333,0.8000000000000002,-0.024154490175219166
1,relu,focal_gamma_2,2025,all_motion,0.5092459519018876,0.25930067667261636,0.7123795438665772,0.12597570386877524,20,0.017920264110982628,0.0073147465892661094,0.3333333333333333,0.7999999999999999,-0.0334288285269441
1,relu,focal_gamma_2,9001,all_motion,0.4722685318258759,0.265388400754202,0.7254180688960333,0.12422226661462152,14,-0.009140895240047428,-0.019746412761763945,0.0,0.7333333333333334,-0.029213336969927884
