dropped_feature,auc_mean,auc_std,brier_mean,brier_std,log_loss_mean,log_loss_std,ece_10_mean,ece_10_std,mean_net_return_mean,mean_net_return_std,mean_excess_return_mean,mean_excess_return_std,win_rate_mean,win_rate_std,turnover_mean,turnover_std,worst_net_return_mean,worst_net_return_std,auc_rank,brier_rank,ece_rank,excess_rank,selection_score,auc_drop,brier_harm,excess_return_drop
crowding_change_5d,0.5020649263888438,0.02664808251526178,0.25681811915052877,0.00548144630407955,0.707210483692643,0.011219121287060941,0.08648883022000753,0.03672597600396434,0.012071714378648282,0.01546413426596951,-0.001180104952955343,0.011829937286947926,0.2962962962962963,0.20030840419244383,0.825925925925926,0.0618640484758891,-0.01793102699887297,0.014526601837905766,0.125,0.75,0.75,0.25,0.40625,0.010939561103063489,0.00205544549491804,0.009079124826196253
graph_regime_residence_days,0.5068174466797016,0.02064451162033306,0.2535334239893849,0.003680437595892309,0.7005079500717702,0.007706882874867312,0.07665934891429298,0.02081500613701696,0.011921240504835003,0.016540200928217393,-0.0013305788267686186,0.012943828468703084,0.4074074074074074,0.2222222222222222,0.8481481481481482,0.06894263136661587,-0.01773335184104524,0.022641940833659255,0.25,1.0,1.0,0.125,0.51875,0.006187040812205669,-0.00122924966622584,0.009229598700009528
graph_cluster_switch_count_20d,0.5092242696142668,0.022130688873609028,0.2545130620985278,0.003877657224327929,0.7025065207030071,0.008047431098473909,0.08127918003987565,0.02817970042808031,0.015548232830597867,0.016741228714736,0.0022964134989942415,0.013134169308362953,0.48148148148148145,0.2939723678960657,0.8185185185185184,0.07657804862272341,-0.015133050315573429,0.020834527106532875,0.375,0.875,0.875,0.375,0.575,0.0037802178776404904,-0.00024961155708291827,0.005602606374246669
latent_velocity,0.5140591672678316,0.018072395179447302,0.2584356441040516,0.008952764424023449,0.7108984970265421,0.01913610847245919,0.09535680087467435,0.04389846622573165,0.019422018187769827,0.012572335973268811,0.006170198856166206,0.012597972912574421,0.5555555555555556,0.23570226039551584,0.8481481481481481,0.06894263136661584,-0.011299121630925814,0.013919199356215951,0.5,0.5,0.625,0.75,0.58125,-0.0010546797759243276,0.003672970448440893,0.0017288210170747047
latent_acceleration,0.5143393078635398,0.018497542973017055,0.2596267210006905,0.009515265646153218,0.7134888576238578,0.020327637092876414,0.09565197719650131,0.04817435014995143,0.018976391068788623,0.014324323471610922,0.005724571737185,0.013343543167241186,0.48148148148148145,0.2421610524189263,0.8333333333333334,0.0687184270936277,-0.011832754634125971,0.01851825192015428,0.625,0.25,0.5,0.5,0.48125,-0.0013348203716324614,0.0048640473450797805,0.0021744481360559103
latent_radial_expansion,0.5158573309261638,0.019266883382261346,0.26076943865472896,0.009131695012225587,0.715992719433415,0.019355075960338853,0.10273463106099073,0.04428937770111827,0.02691488371708166,0.014022940431739113,0.013663064385478034,0.012305700626081627,0.6666666666666666,0.16666666666666669,0.7555555555555555,0.10929064207169999,-0.006011097440317913,0.027233928532989747,0.75,0.125,0.125,1.0,0.5625,-0.0028528434342565134,0.00600676499911823,-0.005764044512237124
neighbor_convergence_velocity,0.5161518928279475,0.018195193246331176,0.2587777435931185,0.006739330057695087,0.7117342948832648,0.0143442327058927,0.10084613074072173,0.03531323674573052,0.01914495436466348,0.013982126828205406,0.005893135033059856,0.012416546007825937,0.5555555555555556,0.23570226039551584,0.762962962962963,0.10858233492051148,-0.012893251690371402,0.01375472228532223,0.875,0.375,0.25,0.625,0.59375,-0.0031474053360401877,0.004015069937507776,0.0020058848401810544
latent_path_curvature,0.5189448992226062,0.021344050486899115,0.25819814666837737,0.007546839311383898,0.7103466464549519,0.015962863658618168,0.09586245144151825,0.039721104888926835,0.02225013003798317,0.01799948904833366,0.008998310706379548,0.017457629362729866,0.5925925925925926,0.14698618394803278,0.8296296296296296,0.06111111111111114,-0.010977338296026906,0.017709673434716366,1.0,0.625,0.375,0.875,0.78125,-0.005940411730698925,0.0034354730127666433,-0.0010992908331386372
