model,seed,auc_delta_mean,auc_ci_2_5,auc_ci_97_5,brier_gain_mean,brier_ci_2_5,brier_ci_97_5,excess_return_delta_mean,return_ci_2_5,return_ci_97_5
elastic_logistic_c1_l25,0,-0.000700978353837954,-0.004174230553981339,0.0030490982379711377,-4.178494954696632e-05,-0.00015176317602913513,7.867501563746475e-05,0.003839948801961961,-0.002998127352282358,0.010747917357536252
ridge_logistic_c01,0,-0.0006427292942630059,-0.004127816582949224,0.0030119040319227866,-4.2313598661401315e-05,-0.0001523173832566062,7.648038453751081e-05,0.0036143237477027413,-0.003579862168258519,0.010808509663664001
tanh_mlp_16_8,442,0.011043127082468632,-0.003197686758069554,0.026470661706365115,2.082507279776944e-05,-0.0011368291904163238,0.0012332936741276336,0.005052171097843196,-0.0007730321591739031,0.013637845923147715
tanh_mlp_16_8,2025,0.00434463474686198,-0.004265653564468557,0.013624521263969716,-0.0018861773164169122,-0.0035430156077854145,-0.000462435336713356,-0.0005547154637655953,-0.00996487287178533,0.007674883203116867
tanh_mlp_16_8,9001,0.005202769110527967,-0.006058181962717327,0.017263658413527106,-0.0005477762291272635,-0.0016874189866472923,0.0007276410402490648,0.004104694570227093,-0.0023794945342429405,0.01103616243079289
