split,date,feature_set,model,seed,gross_excess_return,net_excess_return,turnover
1,2025-12-18,base_plus_regime,tanh_mlp_16_8,442,-0.014230760097204547,-0.014630760097204546,0.4
1,2025-11-26,base_plus_regime,tanh_mlp_16_8,2025,0.0017775355944821773,0.0007775355944821772,1.0
1,2025-12-04,base_plus_regime,tanh_mlp_16_8,2025,0.02739682022486146,0.02639682022486146,1.0
1,2025-12-11,base_plus_regime,tanh_mlp_16_8,2025,-0.003383486101138332,-0.004183486101138332,0.8
1,2025-12-18,base_plus_regime,tanh_mlp_16_8,2025,0.001078594177707795,0.0003785941777077951,0.7
1,2025-11-26,base_plus_regime,tanh_mlp_16_8,9001,0.034746673115329384,0.03374667311532938,1.0
1,2025-12-04,base_plus_regime,tanh_mlp_16_8,9001,0.009938079749981905,0.009338079749981906,0.6
1,2025-12-11,base_plus_regime,tanh_mlp_16_8,9001,-0.0012451800675258515,-0.0019451800675258516,0.7
1,2025-12-18,base_plus_regime,tanh_mlp_16_8,9001,-0.010576613156920675,-0.011376613156920675,0.8
1,2025-11-26,graph_survivors,elastic_logistic_c1_l25,0,0.0363095255916218,0.0353095255916218,1.0
1,2025-12-04,graph_survivors,elastic_logistic_c1_l25,0,0.03696724278649026,0.03606724278649026,0.9
1,2025-12-11,graph_survivors,elastic_logistic_c1_l25,0,-0.034632466465996756,-0.035532466465996754,0.9
1,2025-12-18,graph_survivors,elastic_logistic_c1_l25,0,0.015548960348481848,0.014848960348481849,0.7
1,2025-11-26,graph_survivors,ridge_logistic_c01,0,0.0363095255916218,0.0353095255916218,1.0
1,2025-12-04,graph_survivors,ridge_logistic_c01,0,0.03696724278649026,0.03606724278649026,0.9
1,2025-12-11,graph_survivors,ridge_logistic_c01,0,-0.04724501296922591,-0.04814501296922591,0.9
1,2025-12-18,graph_survivors,ridge_logistic_c01,0,0.006333125508195207,0.005733125508195207,0.6
1,2025-11-26,graph_survivors,tanh_mlp_16_8,442,0.002313994044937614,0.0013139940449376141,1.0
1,2025-12-04,graph_survivors,tanh_mlp_16_8,442,0.011081090274240042,0.010281090274240042,0.8
1,2025-12-11,graph_survivors,tanh_mlp_16_8,442,-0.012192202925080355,-0.012892202925080355,0.7
1,2025-12-18,graph_survivors,tanh_mlp_16_8,442,0.001094488434869284,0.0004944884348692841,0.6
1,2025-11-26,graph_survivors,tanh_mlp_16_8,2025,0.01658496372452764,0.01558496372452764,1.0
1,2025-12-04,graph_survivors,tanh_mlp_16_8,2025,0.005842720461631205,0.005042720461631204,0.8
1,2025-12-11,graph_survivors,tanh_mlp_16_8,2025,0.014409931608148319,0.01370993160814832,0.7
1,2025-12-18,graph_survivors,tanh_mlp_16_8,2025,-0.008933226423561777,-0.009533226423561776,0.6
1,2025-11-26,graph_survivors,tanh_mlp_16_8,9001,0.021691930350115705,0.020691930350115705,1.0
1,2025-12-04,graph_survivors,tanh_mlp_16_8,9001,0.032900949715929925,0.03230094971592992,0.6
1,2025-12-11,graph_survivors,tanh_mlp_16_8,9001,0.009134237343133168,0.008434237343133168,0.7
1,2025-12-18,graph_survivors,tanh_mlp_16_8,9001,-0.006962060773965703,-0.007662060773965703,0.7
